hora_bogota,servicio,cebo,ruta,red,se_presento_como
2026-09-20 18:55:52,Grok,grok-d907,/c/grok-d907,167.160.x.x,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15"
2026-09-20 18:55:52,Grok,grok-d907,/c/grok-d907,142.147.x.x,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15"
2026-09-20 18:55:52,Grok,grok-d907,/c/grok-d907,195.172.x.x,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-09-20 18:55:52,Grok,grok-d907,/c/grok-d907,38.154.x.x,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-09-20 18:55:52,Grok,grok-d907,/c/grok-d907,138.226.x.x,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15"
2026-09-20 18:55:53,Grok,grok-d907,/c/grok-d907,104.243.x.x,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2026-09-20 18:56:02,Grok,grok-d907,/c/grok-d907,108.165.x.x,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2026-09-20 18:56:12,Grok,grok-d907,/c/grok-d907,34.186.x.x,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/148.0.0.0 Safari/537.36"
2026-09-20 18:56:44,Grok,grok-d907,/c/grok-d907,45.41.x.x,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Safari/605.1.15"
